iteration,total,bc,pde,supervised
1,3.3201543e14,7.9389834,14.164478,3.3201543e14
2,3.3201543e14,7.9600067,10.266991,3.3201543e14
3,3.3201543e14,7.9818583,7.2239943,3.3201543e14
4,3.3201543e14,8.003001,4.9896584,3.3201543e14
5,3.3201543e14,8.023037,3.488323,3.3201543e14
6,3.3201543e14,8.0412855,2.6008673,3.3201543e14
7,3.3201543e14,8.058303,2.17493,3.3201543e14
8,3.3201543e14,8.07403,2.0465055,3.3201543e14
9,3.3201543e14,8.088046,2.0616505,3.3201543e14
10,3.3201543e14,8.100358,2.1004434,3.3201543e14
11,3.3201543e14,8.111045,2.0891871,3.3201543e14
12,3.3201543e14,8.1202545,1.997561,3.3201543e14
13,3.3201543e14,8.128205,1.827758,3.3201543e14
14,3.3201543e14,8.1351595,1.6019721,3.3201543e14
15,3.3201543e14,8.141432,1.3513675,3.3201543e14
16,3.3201543e14,8.147359,1.1075565,3.3201543e14
17,3.3201543e14,8.153291,0.89663935,3.3201543e14
18,3.3201543e14,8.159564,0.7355045,3.3201543e14
19,3.3201543e14,8.166492,0.6301318,3.3201543e14
20,3.3201543e14,8.174335,0.5758111,3.3201543e14
21,3.3201543e14,8.183309,0.55925703,3.3201543e14
22,3.3201543e14,8.193539,0.562397,3.3201543e14
23,3.3201543e14,8.205071,0.56712013,3.3201543e14
24,3.3201543e14,8.217865,0.5597651,3.3201543e14
25,3.3201543e14,8.2317705,0.534094,3.3201543e14
26,3.3201543e14,8.246554,0.4919916,3.3201543e14
27,3.3201543e14,8.261871,0.44190627,3.3201543e14
28,3.3201543e14,8.27729,0.39566004,3.3201543e14
29,3.3201543e14,8.292302,0.36458004,3.3201543e14
30,3.3201543e14,8.306348,0.35597613,3.3201543e14
31,3.3201543e14,8.318853,0.37090236,3.3201543e14
32,3.3201543e14,8.329296,0.40386808,3.3201543e14
33,3.3201543e14,8.337244,0.44463268,3.3201543e14
34,3.3201543e14,8.342422,0.48150212,3.3201543e14
35,3.3201543e14,8.344716,0.50494635,3.3201543e14
